Server round: 1 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.124489799053744, num_examples=100, metrics={'accuracy': 0.63, 'cid': '32'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.7021391761670455, num_examples=100, metrics={'accuracy': 0.59, 'cid': '7'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F3D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.156777407619397, num_examples=100, metrics={'accuracy': 0.63, 'cid': '23'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9912405325452215, num_examples=100, metrics={'accuracy': 0.77, 'cid': '94'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16716D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.112250251015793, num_examples=100, metrics={'accuracy': 0.71, 'cid': '52'}))]
Server round: 12 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4392343269481998, num_examples=100, metrics={'accuracy': 0.89, 'cid': '82'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A850>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7805995827547874, num_examples=100, metrics={'accuracy': 0.77, 'cid': '97'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F460>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5862091375913439, num_examples=100, metrics={'accuracy': 0.88, 'cid': '22'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F040>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5709260959175171, num_examples=100, metrics={'accuracy': 0.81, 'cid': '29'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.33137715341291774, num_examples=100, metrics={'accuracy': 0.93, 'cid': '81'}))]
Server round: 13 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F130>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.39245065958601033, num_examples=100, metrics={'accuracy': 0.88, 'cid': '28'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1698C10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4172540967731825, num_examples=100, metrics={'accuracy': 0.9, 'cid': '1'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671C70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5184942999412974, num_examples=100, metrics={'accuracy': 0.83, 'cid': '41'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F9D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.619265283591676, num_examples=100, metrics={'accuracy': 0.83, 'cid': '9'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671F70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5860651173238732, num_examples=100, metrics={'accuracy': 0.79, 'cid': '31'}))]
Server round: 14 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671A90>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5333415925833913, num_examples=100, metrics={'accuracy': 0.87, 'cid': '45'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16716A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.14682749285634478, num_examples=100, metrics={'accuracy': 0.99, 'cid': '54'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F5B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5166441893792233, num_examples=100, metrics={'accuracy': 0.83, 'cid': '19'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.28364280535331465, num_examples=100, metrics={'accuracy': 0.92, 'cid': '84'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AD60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1721494465989521, num_examples=100, metrics={'accuracy': 0.98, 'cid': '73'}))]
Server round: 15 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671190>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2257192325140892, num_examples=100, metrics={'accuracy': 0.92, 'cid': '63'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F3D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5019243058921196, num_examples=100, metrics={'accuracy': 0.83, 'cid': '23'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F130>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.39541857932948205, num_examples=100, metrics={'accuracy': 0.9, 'cid': '28'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.27990489129598173, num_examples=100, metrics={'accuracy': 0.92, 'cid': '84'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671C70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5166714709147295, num_examples=100, metrics={'accuracy': 0.83, 'cid': '41'}))]
Server round: 16 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AAF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.22571772088240644, num_examples=100, metrics={'accuracy': 0.95, 'cid': '91'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4059926484809232, num_examples=100, metrics={'accuracy': 0.87, 'cid': '58'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AF70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6285894987077958, num_examples=100, metrics={'accuracy': 0.79, 'cid': '67'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164ACD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.29951307217602924, num_examples=100, metrics={'accuracy': 0.9, 'cid': '68'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A7C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6513530791492408, num_examples=100, metrics={'accuracy': 0.8, 'cid': '98'}))]
Server round: 17 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FAF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6011890788908992, num_examples=100, metrics={'accuracy': 0.81, 'cid': '6'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671940>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7232367118656999, num_examples=100, metrics={'accuracy': 0.76, 'cid': '48'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.49838541773633, num_examples=100, metrics={'accuracy': 0.86, 'cid': '10'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F5B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5329510452613875, num_examples=100, metrics={'accuracy': 0.78, 'cid': '19'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F460>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5842719683426607, num_examples=100, metrics={'accuracy': 0.85, 'cid': '22'}))]
Server round: 18 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169ED00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.22252400111224793, num_examples=100, metrics={'accuracy': 0.93, 'cid': '77'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7129704945297801, num_examples=100, metrics={'accuracy': 0.82, 'cid': '17'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671820>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5555591296810352, num_examples=100, metrics={'accuracy': 0.83, 'cid': '49'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3030234360971607, num_examples=100, metrics={'accuracy': 0.91, 'cid': '83'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671580>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.23568794654919784, num_examples=100, metrics={'accuracy': 0.96, 'cid': '55'}))]
Server round: 19 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F7F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.48081770670262125, num_examples=100, metrics={'accuracy': 0.84, 'cid': '14'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.44101565552230004, num_examples=100, metrics={'accuracy': 0.9, 'cid': '32'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.42791414914155096, num_examples=100, metrics={'accuracy': 0.83, 'cid': '58'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671D30>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5648369905809654, num_examples=100, metrics={'accuracy': 0.84, 'cid': '39'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164ADC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5767077033550405, num_examples=100, metrics={'accuracy': 0.86, 'cid': '74'}))]
Server round: 20 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671B20>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5917374792830299, num_examples=100, metrics={'accuracy': 0.84, 'cid': '44'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7011128321525991, num_examples=100, metrics={'accuracy': 0.83, 'cid': '17'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AC40>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.09855792969165213, num_examples=100, metrics={'accuracy': 1.0, 'cid': '88'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671280>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.07456601189865615, num_examples=100, metrics={'accuracy': 1.0, 'cid': '62'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AE80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3698190159396927, num_examples=100, metrics={'accuracy': 0.88, 'cid': '72'}))]
Server round: 21 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.34534548765735584, num_examples=100, metrics={'accuracy': 0.91, 'cid': '8'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F8E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5102464545644527, num_examples=100, metrics={'accuracy': 0.83, 'cid': '3'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F820>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8585748272850448, num_examples=100, metrics={'accuracy': 0.73, 'cid': '12'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2728976279931269, num_examples=100, metrics={'accuracy': 0.93, 'cid': '83'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A3A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6413767093133188, num_examples=100, metrics={'accuracy': 0.83, 'cid': '99'}))]
