Server round: 1 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4F70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6521251551206073, num_examples=100, metrics={'accuracy': 0.87, 'cid': '62'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F4C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.8192281540519863, num_examples=100, metrics={'accuracy': 0.6, 'cid': '12'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4E20>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.203485400362001, num_examples=100, metrics={'accuracy': 0.7, 'cid': '65'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401760>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.6971343667954295, num_examples=100, metrics={'accuracy': 0.66, 'cid': '43'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D48B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6672525865508376, num_examples=100, metrics={'accuracy': 0.83, 'cid': '88'}))]
Server round: 12 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F580>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5320541272129709, num_examples=100, metrics={'accuracy': 0.82, 'cid': '19'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401CA0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5478761216917342, num_examples=100, metrics={'accuracy': 0.78, 'cid': '31'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4820>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.13743586976910735, num_examples=100, metrics={'accuracy': 0.99, 'cid': '89'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0974017F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.46824244358891476, num_examples=100, metrics={'accuracy': 0.84, 'cid': '33'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401AC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6839139938890613, num_examples=100, metrics={'accuracy': 0.76, 'cid': '35'}))]
Server round: 13 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D46D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2505316624240176, num_examples=100, metrics={'accuracy': 0.92, 'cid': '92'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4FD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.47899430488135936, num_examples=100, metrics={'accuracy': 0.81, 'cid': '59'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.637213987578499, num_examples=100, metrics={'accuracy': 0.81, 'cid': '9'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F4C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9788768245995603, num_examples=100, metrics={'accuracy': 0.72, 'cid': '12'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0974010A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3738229316549667, num_examples=100, metrics={'accuracy': 0.87, 'cid': '56'}))]
Server round: 14 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E5B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.362740520635657, num_examples=100, metrics={'accuracy': 0.9, 'cid': '82'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4B80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3026771681735208, num_examples=100, metrics={'accuracy': 0.91, 'cid': '71'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F0D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7253582387638973, num_examples=100, metrics={'accuracy': 0.82, 'cid': '20'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3710657471185998, num_examples=100, metrics={'accuracy': 0.87, 'cid': '50'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F4C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.969169639207754, num_examples=100, metrics={'accuracy': 0.7, 'cid': '12'}))]
Server round: 15 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D49D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.13708382511113526, num_examples=100, metrics={'accuracy': 0.99, 'cid': '73'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D44C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7669890990203205, num_examples=100, metrics={'accuracy': 0.78, 'cid': '97'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097429940>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.41307638674039276, num_examples=100, metrics={'accuracy': 0.88, 'cid': '0'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D49A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2935025444042004, num_examples=100, metrics={'accuracy': 0.91, 'cid': '75'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4610>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.16367038921182359, num_examples=100, metrics={'accuracy': 0.98, 'cid': '94'}))]
Server round: 16 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097429940>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4127099122708704, num_examples=100, metrics={'accuracy': 0.89, 'cid': '0'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401CA0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5404113663608608, num_examples=100, metrics={'accuracy': 0.78, 'cid': '31'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4727844760599371, num_examples=100, metrics={'accuracy': 0.85, 'cid': '13'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401220>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.09998341172083558, num_examples=100, metrics={'accuracy': 0.98, 'cid': '54'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.63632350149868, num_examples=100, metrics={'accuracy': 0.81, 'cid': '98'}))]
Server round: 17 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0974012B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.47970274289881637, num_examples=100, metrics={'accuracy': 0.87, 'cid': '45'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4B80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2801314614492109, num_examples=100, metrics={'accuracy': 0.93, 'cid': '71'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0974018B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.503107150440978, num_examples=100, metrics={'accuracy': 0.83, 'cid': '40'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E850>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6757803732904368, num_examples=100, metrics={'accuracy': 0.82, 'cid': '78'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6338222058097891, num_examples=100, metrics={'accuracy': 0.8, 'cid': '98'}))]
Server round: 18 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3473254710613227, num_examples=100, metrics={'accuracy': 0.88, 'cid': '50'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4400>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6341481073010486, num_examples=100, metrics={'accuracy': 0.81, 'cid': '90'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401E80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4729109010825055, num_examples=100, metrics={'accuracy': 0.83, 'cid': '23'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4820>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.10589478822041863, num_examples=100, metrics={'accuracy': 1.0, 'cid': '89'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.474512625020893, num_examples=100, metrics={'accuracy': 0.87, 'cid': '13'}))]
Server round: 19 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.40836589378467586, num_examples=100, metrics={'accuracy': 0.88, 'cid': '2'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F340>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.43585431211295533, num_examples=100, metrics={'accuracy': 0.82, 'cid': '14'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.30928625649283586, num_examples=100, metrics={'accuracy': 0.89, 'cid': '50'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0974013A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.23006769270564145, num_examples=100, metrics={'accuracy': 0.93, 'cid': '52'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F040>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8707105830869644, num_examples=100, metrics={'accuracy': 0.76, 'cid': '21'}))]
Server round: 20 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D41C0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4251841563503714, num_examples=100, metrics={'accuracy': 0.84, 'cid': '96'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D49D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.10784126810000862, num_examples=100, metrics={'accuracy': 0.99, 'cid': '73'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097429AF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3324274028236232, num_examples=100, metrics={'accuracy': 0.91, 'cid': '1'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F097401220>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1003717915475385, num_examples=100, metrics={'accuracy': 0.99, 'cid': '54'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09742E850>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7121663807161691, num_examples=100, metrics={'accuracy': 0.81, 'cid': '78'}))]
Server round: 21 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D49A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.24577966720054564, num_examples=100, metrics={'accuracy': 0.96, 'cid': '75'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F09740F640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5729456897128472, num_examples=100, metrics={'accuracy': 0.84, 'cid': '9'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4E20>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5063161827900658, num_examples=100, metrics={'accuracy': 0.88, 'cid': '65'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.27197272151912744, num_examples=100, metrics={'accuracy': 0.91, 'cid': '68'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001F0973D4A30>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5210687407418652, num_examples=100, metrics={'accuracy': 0.87, 'cid': '74'}))]
